id,AP,CI,CI_color,region,subregion,bin_region,main_region,main_region_color
1,2.3,C,#A6CEE3,PL/ILA,PL/ILA_2.3_C,PL/ILA_C,PL/ILA,#8DD3C7
2,2,C,#A6CEE3,PL/ILA,PL/ILA_2_C,PL/ILA_C,PL/ILA,#8DD3C7
3,1.7,C,#A6CEE3,PL/ILA,PL/ILA_1.7_C,PL/ILA_C,PL/ILA,#8DD3C7
4,1.4,C,#A6CEE3,PL/ILA,PL/ILA_1.4_C,PL/ILA_C,PL/ILA,#8DD3C7
5,2.3,C,#A6CEE3,ORB,ORB_2.3_C,ORB_C,ORB,#FFFFB3
6,2,C,#A6CEE3,ORB,ORB_2_C,ORB_C,ORB,#FFFFB3
7,2,C,#A6CEE3,AIv,AIv_2_C,AIv_C,AIv,#BEBADA
8,1.7,C,#A6CEE3,AIv,AIv_1.7_C,AIv_C,AIv,#BEBADA
9,1.1,C,#A6CEE3,ACA,ACA_1.1_C,ACA_C,ACA,#FB8072
10,0.8,C,#A6CEE3,ACA,ACA_0.8_C,ACA_C,ACA,#FB8072
11,0.5,C,#A6CEE3,ACA,ACA_0.5_C,ACA_C,ACA,#FB8072
12,0.2,C,#A6CEE3,ACA,ACA_0.2_C,ACA_C,ACA,#FB8072
13,-0.1,C,#A6CEE3,ACA,ACA_-0.1_C,ACA_C,ACA,#FB8072
14,-0.4,C,#A6CEE3,ACA,ACA_-0.4_C,ACA_C,ACA,#FB8072
15,2.3,I,#1F78B4,PL/ILA,PL/ILA_2.3_I,PL/ILA_I,PL/ILA,#8DD3C7
16,2,I,#1F78B4,PL/ILA,PL/ILA_2_I,PL/ILA_I,PL/ILA,#8DD3C7
17,2.3,I,#1F78B4,ORB,ORB_2.3_I,ORB_I,ORB,#FFFFB3
18,2,I,#1F78B4,ORB,ORB_2_I,ORB_I,ORB,#FFFFB3
19,2,I,#1F78B4,AIv,AIv_2_I,AIv_I,AIv,#BEBADA
20,1.7,I,#1F78B4,AIv,AIv_1.7_I,AIv_I,AIv,#BEBADA
21,1.4,I,#1F78B4,AIv,AIv_1.4_I,AIv_I,AIv,#BEBADA
22,1.1,I,#1F78B4,AIv,AIv_1.1_I,AIv_I,AIv,#BEBADA
23,1.1,I,#1F78B4,ACA,ACA_1.1_I,ACA_I,ACA,#FB8072
24,0.8,I,#1F78B4,ACA,ACA_0.8_I,ACA_I,ACA,#FB8072
25,0.5,I,#1F78B4,ACA,ACA_0.5_I,ACA_I,ACA,#FB8072
26,0.2,I,#1F78B4,ACA,ACA_0.2_I,ACA_I,ACA,#FB8072
27,-0.1,I,#1F78B4,ACA,ACA_-0.1_I,ACA_I,ACA,#FB8072
28,-0.4,I,#1F78B4,ACA,ACA_-0.4_I,ACA_I,ACA,#FB8072
29,-0.7,I,#1F78B4,ACA,ACA_-0.7_I,ACA_I,ACA,#FB8072
30,1.4,I,#1F78B4,CLA,CLA_1.4_I,CLA_I,CLA,#80B1D3
31,1.1,I,#1F78B4,CLA,CLA_1.1_I,CLA_I,CLA,#80B1D3
32,0.8,I,#1F78B4,CLA,CLA_0.8_I,CLA_I,CLA,#80B1D3
33,0.5,I,#1F78B4,CLA,CLA_0.5_I,CLA_I,CLA,#80B1D3
34,0.2,I,#1F78B4,CLA,CLA_0.2_I,CLA_I,CLA,#80B1D3
35,-0.1,I,#1F78B4,CLA,CLA_-0.1_I,CLA_I,CLA,#80B1D3
36,-0.4,I,#1F78B4,CLA,CLA_-0.4_I,CLA_I,CLA,#80B1D3
37,0.8,I,#1F78B4,NDB,NDB_0.8_I,NDB_I,NDB,#FDB462
38,0.5,I,#1F78B4,NDB,NDB_0.5_I,NDB_I,NDB,#FDB462
39,0.2,I,#1F78B4,NDB,NDB_0.2_I,NDB_I,NDB,#FDB462
40,-0.1,I,#1F78B4,NDB,NDB_-0.1_I,NDB_I,NDB,#FDB462
41,-0.4,I,#1F78B4,NDB,NDB_-0.4_I,NDB_I,NDB,#FDB462
42,-0.7,I,#1F78B4,NDB,NDB_-0.7_I,NDB_I,NDB,#FDB462
43,-0.4,I,#1F78B4,ATN,ATN_-0.4_I,TH_I,TH,#B3DE69
44,-0.7,I,#1F78B4,ATN/MTN,ATN/MTN_-0.7_I,TH_I,TH,#B3DE69
45,-1,I,#1F78B4,MD,MD_-1_I,TH_I,TH,#B3DE69
46,-1,I,#1F78B4,AD,AD_-1_I,TH_I,TH,#B3DE69
47,-1.3,I,#1F78B4,SMT,SMT_-1.3_I,TH_I,TH,#B3DE69
48,-1.3,I,#1F78B4,CL,CL_-1.3_I,TH_I,TH,#B3DE69
49,-1.6,I,#1F78B4,CL,CL_-1.6_I,TH_I,TH,#B3DE69
50,-1.9,I,#1F78B4,CL,CL_-1.9_I,TH_I,TH,#B3DE69
51,-1.6,I,#1F78B4,PR,PR_-1.6_I,TH_I,TH,#B3DE69
52,-1.9,I,#1F78B4,PR,PR_-1.9_I,TH_I,TH,#B3DE69
53,-1.6,I,#1F78B4,RSPagl,RSPagl_-1.6_I,RSPagl_I,RSPagl,#FCCDE5
54,-1.9,I,#1F78B4,RSPagl,RSPagl_-1.9_I,RSPagl_I,RSPagl,#FCCDE5
55,-2.2,I,#1F78B4,RSPagl,RSPagl_-2.2_I,RSPagl_I,RSPagl,#FCCDE5
56,-2.5,I,#1F78B4,RSPagl,RSPagl_-2.5_I,RSPagl_I,RSPagl,#FCCDE5
57,-2.8,I,#1F78B4,RSPagl,RSPagl_-2.8_I,RSPagl_I,RSPagl,#FCCDE5
58,-3.1,I,#1F78B4,RSPagl,RSPagl_-3.1_I,RSPagl_I,RSPagl,#FCCDE5
59,-3.4,I,#1F78B4,RSPagl,RSPagl_-3.4_I,RSPagl_I,RSPagl,#FCCDE5
60,-3.7,I,#1F78B4,RSPagl,RSPagl_-3.7_I,RSPagl_I,RSPagl,#FCCDE5
61,-1.6,I,#1F78B4,BLAa,BLAa_-1.6_I,BLAa_I,BLAa,#D9D9D9
62,-1.9,I,#1F78B4,BLAa,BLAa_-1.9_I,BLAa_I,BLAa,#D9D9D9
63,-2.2,I,#1F78B4,BLAa,BLAa_-2.2_I,BLAa_I,BLAa,#D9D9D9
64,-2.5,I,#1F78B4,RSPv,RSPv_-2.5_I,RSPv_I,RSPv,#BC80BD
65,-2.8,I,#1F78B4,RSPv,RSPv_-2.8_I,RSPv_I,RSPv,#BC80BD
66,-3.1,I,#1F78B4,RSPv,RSPv_-3.1_I,RSPv_I,RSPv,#BC80BD
67,-2.8,I,#1F78B4,CA1,CA1_-2.8_I,CA1_I,CA1,#CCEBC5
68,-3.1,I,#1F78B4,CA1,CA1_-3.1_I,CA1_I,CA1,#CCEBC5
69,-3.4,I,#1F78B4,CA1,CA1_-3.4_I,CA1_I,CA1,#CCEBC5
70,-3.7,I,#1F78B4,CA1,CA1_-3.7_I,CA1_I,CA1,#CCEBC5
